first_name,last_name,full_name,department,organization,organization_type,country,leader,team_id,position,times_cited,api_name,gender,probability,count
Kamla,Kant,"Kamla, Kant",New Delhi,Etiol Elus Disorders Res Network EEDRN,Research,India,"Ashutosh, Kumar",8,other,32,Kamla,female,0.77,120
Ashutosh,Kumar,"Ashutosh, Kumar",Anat,All India Inst Med Sci AIIMS,Institute,India,"Ashutosh, Kumar",8,leader,32,Ashutosh,male,0.99,758
Ravi K,Narayan,"Ravi K, Narayan",Anat,All India Inst Med Sci AIIMS,Institute,India,"Ashutosh, Kumar",8,other,32,Ravi,male,0.98,6167
Prakash S,Sekhawat,"Prakash S, Sekhawat",Hematol,Nil RatanSircar Med Coll & Hosp NRSMCH,College,India,"Ashutosh, Kumar",8,other,32,Prakash,male,0.99,2377
Vikas,Pareek,"Vikas, Pareek",Manesar,Natl Brain Res Ctr,Research,India,"Ashutosh, Kumar",8,other,32,Vikas,male,0.99,2499
Chiman,Kumari,"Chiman, Kumari",Anat,Postgrad Inst Med Educ & Res PGIMER,Institute,India,"Ashutosh, Kumar",8,other,32,Chiman,male,0.69,39
Maheswari,Kulandhasamy,"Maheswari, Kulandhasamy",Biochem,Maulana Azad Med Coll MAMC,College,India,"Ashutosh, Kumar",8,other,32,Maheswari,female,1,31
Kamla,Kant,"Kamla, Kant",Microbiol,All India Inst Med Sci AIIMS,Institute,India,"Ashutosh, Kumar",8,last,32,Kamla,female,0.77,120
Shalini,Saxena,"Shalini, Saxena",Mahalanobis Natl Crop Forecast Ctr,DAC&FW,Institute,India,"Shibendu S, Ray",9,first,2,Shalini,female,0.99,693
Amit,Rabha,"Amit, Rabha",Mahalanobis Natl Crop Forecast Ctr,DAC&FW,Institute,India,"Shibendu S, Ray",9,other,2,Amit,male,0.99,8292
Preeti,Tahlani,"Preeti, Tahlani",Mahalanobis Natl Crop Forecast Ctr,DAC&FW,Institute,India,"Shibendu S, Ray",9,other,2,Preeti,female,0.98,619
Shibendu S,Ray,"Shibendu S, Ray",Mahalanobis Natl Crop Forecast Ctr,DAC&FW,Institute,India,"Shibendu S, Ray",9,"last, leader",2,Shibendu,male,1,5
Mukesh,Kumar,"Mukesh, Kumar",Elect & Commun,Natl Inst Technol NIT,Institute,India,"Mukesh, Kumar",10,"first, leader",0,Mukesh,male,0.99,1846
Deepak,Bhadu,"Deepak, Bhadu",Sch VLSI Design & Embedded Syst,Natl Inst Technol NIT,Institute,India,"Mukesh, Kumar",10,last,0,Deepak,male,0.99,5210
Kiran Malathesha,Safare,"Kiran Malathesha, Safare",Chem,GM Inst Technol,Institute,India,"Pundikala, Veeresha",11,first,9,Kiran,male,0.68,3266
Virupaxappa Shekarappa,Betageri,"Virupaxappa Shekarappa, Betageri",Chem,GM Inst Technol,Institute,India,"Pundikala, Veeresha",11,other,9,Virupaxappa,male,0.75,4
Doddabhadrappla Gowda,Prakasha,"Doddabhadrappla Gowda, Prakasha",Math,Davangere Univ,University,India,"Pundikala, Veeresha",11,other,9,Doddabhadrappla,male,1,41
Pundikala,Veeresha,"Pundikala, Veeresha",Math,Karnatak Univ,University,India,"Pundikala, Veeresha",11,leader,9,Pundikala,male,1,10
Sunil,Kumar,"Sunil, Kumar",Math,Natl Inst Technol,Institute,India,"Pundikala, Veeresha",11,last,9,Sunil,male,0.99,4549
Niraj N,Mahajan,"Niraj N, Mahajan",Obstet & Gynecol,TN Med Coll & BYL Nair Ch Hosp,College,India,"Niraj N, Mahajan",12,"first, leader",3,Niraj,male,0.99,542
Shweta N,Kesarwani,"Shweta N, Kesarwani",Obstet & Gynecol,TN Med Coll & BYL Nair Ch Hosp,College,India,"Niraj N, Mahajan",12,other,3,Shweta,female,0.98,716
Snehal S,Shinde,"Snehal S, Shinde",Obstet & Gynecol,TN Med Coll & BYL Nair Ch Hosp,College,India,"Niraj N, Mahajan",12,other,3,Snehal,female,0.63,217
Anurupa,Nayak,"Anurupa, Nayak",Obstet & Gynecol,TN Med Coll & BYL Nair Ch Hosp,College,India,"Niraj N, Mahajan",12,other,3,Anurupa,female,1,5
Niraj N,Mahajan,"Niraj N, Mahajan",Mumbai,BYL Nair Charitable Hosp,Hospital,India,"Niraj N, Mahajan",12,leader,3,Niraj,male,0.99,542
Shweta N,Kesarwani,"Shweta N, Kesarwani",Mumbai,BYL Nair Charitable Hosp,Hospital,India,"Niraj N, Mahajan",12,other,3,Shweta,female,0.98,716
Snehal S,Shinde,"Snehal S, Shinde",Mumbai,BYL Nair Charitable Hosp,Hospital,India,"Niraj N, Mahajan",12,other,3,Snehal,female,0.63,217
Anurupa,Nayak,"Anurupa, Nayak",Mumbai,BYL Nair Charitable Hosp,Hospital,India,"Niraj N, Mahajan",12,other,3,Anurupa,female,1,5
Deepak N,Modi,"Deepak N, Modi",Mumbai,ICMR Natl Inst Res Reprod Hlth,Institute,India,"Niraj N, Mahajan",12,other,3,Deepak,male,0.99,5210
Smita D,Mahale,"Smita D, Mahale",Mumbai,ICMR Natl Inst Res Reprod Hlth,Institute,India,"Niraj N, Mahajan",12,other,3,Smita,female,0.98,347
Rahul K,Gajbhiye,"Rahul K, Gajbhiye",Mumbai,ICMR Natl Inst Res Reprod Hlth,Institute,India,"Niraj N, Mahajan",12,last,3,Rahul,male,0.99,9912
Hem Chandra,Pandey,"Hem Chandra, Pandey",Transfus Med,All India Inst Med Sci,Institute,India,"Hem Chandra, Pandey",13,"first, leader",0,Hem,male,0.82,244
Poonam,Coshic,"Poonam, Coshic",Transfus Med,All India Inst Med Sci,Institute,India,"Hem Chandra, Pandey",13,other,0,Poonam,female,0.97,560
C S,Chippy,"C S, Chippy",Transfus Med,All India Inst Med Sci,Institute,India,"Hem Chandra, Pandey",13,other,0,Chippy,male,0.66,85
Priyadarsini Jayachandran,Arcot,"Priyadarsini Jayachandran, Arcot",Transfus Med,All India Inst Med Sci,Institute,India,"Hem Chandra, Pandey",13,other,0,Priyadarsini,female,1,8
Karan,Kumar,"Karan, Kumar",Transfus Med,All India Inst Med Sci,Institute,India,"Hem Chandra, Pandey",13,last,0,Karan,male,0.96,3193
Rajeeb K,Mohanty,"Rajeeb K, Mohanty",Bhubaneswar 751023,ICAR Indian Inst Water Management,Institute,India,"Amod K, Thakur",14,first,0,Rajeeb,male,1,12
Krishna G,Mandal,"Krishna G, Mandal",Bhubaneswar 751023,ICAR Indian Inst Water Management,Institute,India,"Amod K, Thakur",14,other,0,Krishna,male,0.89,2891
Amod K,Thakur,"Amod K, Thakur",Bhubaneswar 751023,ICAR Indian Inst Water Management,Institute,India,"Amod K, Thakur",14,"last, leader",0,Amod,male,0.93,92
Prassan,Choudhary,"Prassan, Choudhary",Mau 275103,ICAR Natl Bur Agr Important Microorgan,Research,India,"Hillol, Chakdar",15,first,2,Prassan,male,1,2
Hillol,Chakdar,"Hillol, Chakdar",Mau 275103,ICAR Natl Bur Agr Important Microorgan,Research,India,"Hillol, Chakdar",15,leader,2,Hillol,male,1,5
Dikchha,Singh,"Dikchha, Singh",Mau 275103,ICAR Natl Bur Agr Important Microorgan,Research,India,"Hillol, Chakdar",15,other,2,Dikchha,female,0.75,4
Anil Kumar,Saxena,"Anil Kumar, Saxena",Mau 275103,ICAR Natl Bur Agr Important Microorgan,Research,India,"Hillol, Chakdar",15,other,2,Anil,male,0.97,6560
Chandrabose,Selvaraj,"Chandrabose, Selvaraj",Bioinformat,Alagappa Univ,University,India,"Hillol, Chakdar",15,other,2,Chandrabose,male,1,4
Sanjeev Kumar,Singh,"Sanjeev Kumar, Singh",Bioinformat,Alagappa Univ,University,India,"Hillol, Chakdar",15,other,2,Sanjeev,male,0.99,1566
Sunil,Kumar,"Sunil, Kumar",Ctr Agr Bioinformat,ICAR Indian Agr Stat Res Inst,Institute,India,"Hillol, Chakdar",15,last,2,Sunil,male,0.99,4549
Kranti Suresh,Vora,"Kranti Suresh, Vora",Gandhinagar Chiloda Highway,Indian Inst Publ Hlth Gandhinagar,Institute,India,"Senthilkumar, Natesan",16,first,2,Kranti,male,0.84,44
Aarthi,Sundararajan,"Aarthi, Sundararajan",Gandhinagar Chiloda Highway,Indian Inst Publ Hlth Gandhinagar,Institute,India,"Senthilkumar, Natesan",16,other,2,Aarthi,female,0.98,48
Senthilkumar,Natesan,"Senthilkumar, Natesan",Gandhinagar Chiloda Highway,Indian Inst Publ Hlth Gandhinagar,Institute,India,"Senthilkumar, Natesan",16,leader,2,Senthilkumar,male,0.99,149
Shahin,Saiyed,"Shahin, Saiyed",Gandhinagar,Biomac Life Sci Pvt Ltd,Institute,India,"Senthilkumar, Natesan",16,other,2,Shahin,male,0.95,1969
Senthilkumar,Natesan,"Senthilkumar, Natesan",Gandhinagar,Biomac Life Sci Pvt Ltd,Institute,India,"Senthilkumar, Natesan",16,leader,2,Senthilkumar,male,0.99,149
Kuldeep,Dhama,"Kuldeep, Dhama",Div Pathol,ICAR Indian Vet Res Inst,Institute,India,"Senthilkumar, Natesan",16,last,2,Kuldeep,male,0.99,779
Pavan,Kumar,"Pavan, Kumar",Coll Hort & Forestry,Rani Lakshmi Bai Cent Agr Univ,University,India,"Ali A, Rabaan",17,other,6,Pavan,male,0.98,881
Kuldeep,Dhama,"Kuldeep, Dhama",Div Pathol,ICAR Indian Vet Res Inst,Institute,India,"Ali A, Rabaan",17,other,6,Kuldeep,male,0.99,779
Doraisamy,Balasubramaniam,"Doraisamy, Balasubramaniam",ECE,Vel Tech RangarajanDr Sagunthala R&D Inst Sci & T,Institute,India,"Doraisamy, Balasubramaniam",18,"first, leader",5,Doraisamy,male,1,4
Chandramohan,Kanmanipappa,"Chandramohan, Kanmanipappa",ECE,Vel Tech RangarajanDr Sagunthala R&D Inst Sci & T,Institute,India,"Doraisamy, Balasubramaniam",18,other,5,Chandramohan,male,1,40
Manavalan,Saravanan,"Manavalan, Saravanan",ECE,Vel Tech RangarajanDr Sagunthala R&D Inst Sci & T,Institute,India,"Doraisamy, Balasubramaniam",18,other,5,Manavalan,male,1,9
Balraj,Shankarlal,"Balraj, Shankarlal",ECE,PerunthalaivarKamarajar Inst Engn & Technol,Institute,India,"Doraisamy, Balasubramaniam",18,last,5,Balraj,male,0.98,129
Amita,Jain,"Amita, Jain",New Delhi,Army Coll Med Sci,College,India,"Amita, Jain",19,"first, leader",0,Amita,female,0.91,264
Vishal,Goyal,"Vishal, Goyal",New Delhi,Army Coll Med Sci,College,India,"Amita, Jain",19,other,0,Vishal,male,0.99,3802
Chaitanya,Varma,"Chaitanya, Varma",New Delhi,Army Coll Med Sci,College,India,"Amita, Jain",19,other,0,Chaitanya,male,0.94,318
Amita,Jain,"Amita, Jain",New Delhi,Base Hosp Delhi Cantt,Hospital,India,"Amita, Jain",19,leader,0,Amita,female,0.91,264
Vishal,Goyal,"Vishal, Goyal",New Delhi,Base Hosp Delhi Cantt,Hospital,India,"Amita, Jain",19,other,0,Vishal,male,0.99,3802
Chaitanya,Varma,"Chaitanya, Varma",New Delhi,Base Hosp Delhi Cantt,Hospital,India,"Amita, Jain",19,last,0,Chaitanya,male,0.94,318
U P A S A N A,BHATTACHARYYA,"U P A S A N A, BHATTACHARYYA",Genet,Univ Delhi,University,India,,20,first,0,BHATTACHARYYA,female,0.98,386
B K,THELMA,"B K, THELMA",Genet,Univ Delhi,University,India,,20,last,0,THELMA,female,0.98,1576
Bikash Ranjan,Parida,"Bikash Ranjan, Parida",Sch Nat Resource Management,Cent Univ Jharkhand,University,India,"Bikash Ranjan, Parida",21,"first, leader",0,Bikash,male,0.99,303
Somnath,Bar,"Somnath, Bar",Sch Nat Resource Management,Cent Univ Jharkhand,University,India,"Bikash Ranjan, Parida",21,other,0,Somnath,male,0.99,217
Arvind Chandra,Pandey,"Arvind Chandra, Pandey",Sch Nat Resource Management,Cent Univ Jharkhand,University,India,"Bikash Ranjan, Parida",21,other,0,Arvind,male,0.99,1448
Nilendu,Singh,"Nilendu, Singh",Ctr Glaciol,Wadia Inst Himalayan Geol,Institute,India,"Bikash Ranjan, Parida",21,other,0,Nilendu,male,1,2
Bakimchandra,Oinam,"Bakimchandra, Oinam",Civil Engn,Natl Inst Technol,Institute,India,"Bikash Ranjan, Parida",21,other,0,Bakimchandra,male,0.75,4
Manoj,Kumar,"Manoj, Kumar",Sch Nat Resource Management,Cent Univ Jharkhand,University,India,"Bikash Ranjan, Parida",21,last,0,Manoj,male,0.99,3843
Ivan,Marbaniang,"Ivan, Marbaniang",Byramjee Jeejeebhoy Govt Med Coll,Johns Hopkins Univ,University,India,"Ivan, Marbaniang",22,"first, leader",1,Ivan,male,0.99,117756
Smita,Nimkar,"Smita, Nimkar",Byramjee Jeejeebhoy Govt Med Coll,Johns Hopkins Univ,University,India,"Ivan, Marbaniang",22,other,1,Smita,female,0.98,347
Kanta,Zarekar,"Kanta, Zarekar",Byramjee Jeejeebhoy Govt Med Coll,Johns Hopkins Univ,University,India,"Ivan, Marbaniang",22,other,1,Kanta,male,0.65,159
Amol,Chavan,"Amol, Chavan",Byramjee Jeejeebhoy Govt Med Coll,Johns Hopkins Univ,University,India,"Ivan, Marbaniang",22,other,1,Amol,male,0.9,816
Amita,Gupta,"Amita, Gupta",Byramjee Jeejeebhoy Govt Med Coll,Johns Hopkins Univ,University,India,"Ivan, Marbaniang",22,other,1,Amita,female,0.91,264
Nishi,Suryavanshi,"Nishi, Suryavanshi",Byramjee Jeejeebhoy Govt Med Coll,Johns Hopkins Univ,University,India,"Ivan, Marbaniang",22,other,1,Nishi,female,0.64,204
Vidya,Mave,"Vidya, Mave",Byramjee Jeejeebhoy Govt Med Coll,Johns Hopkins Univ,University,India,"Ivan, Marbaniang",22,other,1,Vidya,female,0.85,401
Shashikala,Sangle,"Shashikala, Sangle",Gen Med,Byramjee Jeejeebhoy Govt Med Coll,College,India,"Ivan, Marbaniang",22,other,1,Shashikala,female,1,12
Sonali,Salvi,"Sonali, Salvi",Gen Med,Byramjee Jeejeebhoy Govt Med Coll,College,India,"Ivan, Marbaniang",22,other,1,Sonali,female,0.97,370
Atanu,Basu,"Atanu, Basu",Electron Microscopy & Histopathol Grp,ICMR Natl Inst Virol,Institute,India,"Atanu, Basu",23,"first, leader",0,Atanu,male,1,99
Harpreet,Sandhu,"Harpreet, Sandhu",Int Hlth Div,Indian Council Med Res,Research,India,"Atanu, Basu",23,last,0,Harpreet,male,0.78,595
Rajib,Dasgupta,"Rajib, Dasgupta",Ctr Social Med & Community Hlth,Jawaharlal Nehru Univ,University,India,"Rajib, Dasgupta",24,"first, leader",0,Rajib,male,0.99,298
Anita,Kotwani,"Anita, Kotwani",Vallabhbhai Patel Chest Inst,Univ Delhi,University,India,"Rajib, Dasgupta",24,other,0,Anita,female,0.98,66163
Sukhadeo B,Barbuddhe,"Sukhadeo B, Barbuddhe",Hyderabad,ICAR Natl Res Ctr Meat,Research,India,"Rajib, Dasgupta",24,other,0,Sukhadeo,male,1,2
Sandeep,Grover,"Sandeep, Grover",Psychiat,Post Grad Inst Med Educ & Res,Institute,India,"Sandeep, Grover",25,"first, leader",0,Sandeep,male,0.98,4494
Aseem,Mehra,"Aseem, Mehra",Psychiat,Post Grad Inst Med Educ & Res,Institute,India,"Sandeep, Grover",25,other,0,Aseem,male,1,172
Swapnajeet,Sahoo,"Swapnajeet, Sahoo",Psychiat,Post Grad Inst Med Educ & Res,Institute,India,"Sandeep, Grover",25,other,0,Swapnajeet,male,1,2
Mrugesh,Vaishnav,"Mrugesh, Vaishnav",Ahmadabad,Samvedana Grp Hosp & Res Ctr,Hospital,India,"Sandeep, Grover",25,other,0,Mrugesh,male,1,29
Adarsh,Tripathi,"Adarsh, Tripathi",Psychiat,King Georges Med Univ,University,India,"Sandeep, Grover",25,other,0,Adarsh,male,0.99,322
P K,Dalal,"P K, Dalal",Psychiat,King Georges Med Univ,University,India,"Sandeep, Grover",25,other,0,Dalal,female,0.95,1439
T S S,Rao,"T S S, Rao",JSS Med Coll & Hosp,JSS Acad Higher Educ & Res,Academy,India,"Sandeep, Grover",25,other,0,Rao,male,0.92,618
Shivanand,Manohar,"Shivanand, Manohar",JSS Med Coll & Hosp,JSS Acad Higher Educ & Res,Academy,India,"Sandeep, Grover",25,other,0,Shivanand,male,1,64
Suman S,Rao,"Suman S, Rao",JSS Med Coll & Hosp,JSS Acad Higher Educ & Res,Academy,India,"Sandeep, Grover",25,other,0,Suman,male,0.76,1092
Ajit,Avasthi,"Ajit, Avasthi",Psychiat,Fortis Hosp Mohali,Hospital,India,"Sandeep, Grover",25,other,0,Ajit,male,0.99,918
Ajit,Avasthi,"Ajit, Avasthi",Chandigarh,CMC,College,India,"Sandeep, Grover",25,other,0,Ajit,male,0.99,918
Suhas,Chandran,"Suhas, Chandran",Psychiat,St Johns Med Coll Hosp,College,India,"Sandeep, Grover",25,other,0,Suhas,male,0.97,303
Pratheek,Sharma,"Pratheek, Sharma",Psychiat,St Johns Med Coll Hosp,College,India,"Sandeep, Grover",25,other,0,Pratheek,male,1,12
Ajay,Kumar,"Ajay, Kumar",Psychiat,All India Inst Med Sci,Institute,India,"Sandeep, Grover",25,last,0,Ajay,male,0.99,4648
R Srinivasa,Murthy,"R Srinivasa, Murthy",Psychiat,Natl Inst Mental Hlth & Neurosci NIMHANS,Institute,India,"R Srinivasa, Murthy",26,"first, leader",0,Murthy,male,0.99,89
Fazlur,Rahman,"Fazlur, Rahman",Biotechnol,Jamia Millia Islamia,University,India,"Abdur, Rub",27,first,5,Fazlur,male,1,29
Shams,Tabrez,"Shams, Tabrez",Biotechnol,Jamia Millia Islamia,University,India,"Abdur, Rub",27,other,5,Shams,male,0.7,1331
Rahat,Ali,"Rahat, Ali",Biotechnol,Jamia Millia Islamia,University,India,"Abdur, Rub",27,other,5,Rahat,male,0.78,333
Abdur,Rub,"Abdur, Rub",Biotechnol,Jamia Millia Islamia,University,India,"Abdur, Rub",27,leader,5,Abdur,male,0.99,375
Sai P,Haranath,"Sai P, Haranath",Apollo Hosp,Apollo Hlth City,Hospital,India,"Krishnan, Ganapathy",28,first,1,Sai,male,0.77,2637
Subba R,Kesavarapu,"Subba R, Kesavarapu",Apollo Hosp,Apollo Hlth City,Hospital,India,"Krishnan, Ganapathy",28,other,1,Subba,male,0.82,34
Swarna D,Kuragayala,"Swarna D, Kuragayala",Apollo Hosp,Apollo Hlth City,Hospital,India,"Krishnan, Ganapathy",28,other,1,Swarna,female,0.8,49
Krishnan,Ganapathy,"Krishnan, Ganapathy",Chennai,Apollo Telemed Networking Fdn,Hospital,India,"Krishnan, Ganapathy",28,"last, leader",1,Krishnan,male,0.95,294
Ravindra K,Garg,"Ravindra K, Garg",Neurol,King George Med Univ,University,India,"Ravindra K, Garg",29,"first, leader",0,Ravindra,male,0.99,662
Hardeep S,Malhotra,"Hardeep S, Malhotra",Neurol,King George Med Univ,University,India,"Ravindra K, Garg",29,other,0,Hardeep,male,0.87,309
Praveen K,Sharma,"Praveen K, Sharma",Neurol,King George Med Univ,University,India,"Ravindra K, Garg",29,other,0,Praveen,male,0.99,2474
Vimal K,Paliwal,"Vimal K, Paliwal",Neurol,Sanjay Gandhi Postgrad Inst Med Sci,Institute,India,"Ravindra K, Garg",29,last,0,Vimal,male,0.98,696
Amol,Raheja,"Amol, Raheja",Neurosurg,All India Inst Med Sci,Institute,India,"Vivek, Tandon",30,first,1,Amol,male,0.9,816
Niveditha,Manjunath,"Niveditha, Manjunath",Neurosurg,All India Inst Med Sci,Institute,India,"Vivek, Tandon",30,other,1,Niveditha,female,1,22
Kanwaljeet,Garg,"Kanwaljeet, Garg",Neurosurg,All India Inst Med Sci,Institute,India,"Vivek, Tandon",30,other,1,Kanwaljeet,male,0.81,16
Vivek,Tandon,"Vivek, Tandon",Neurosurg,All India Inst Med Sci,Institute,India,"Vivek, Tandon",30,leader,1,Vivek,male,0.99,3051
Shashwat,Mishra,"Shashwat, Mishra",Neurosurg,All India Inst Med Sci,Institute,India,"Vivek, Tandon",30,other,1,Shashwat,male,1,51
Ashish,Suri,"Ashish, Suri",Neurosurg,All India Inst Med Sci,Institute,India,"Vivek, Tandon",30,other,1,Ashish,male,0.99,3872
P Sarat,Chandra,"P Sarat, Chandra",Neurosurg,All India Inst Med Sci,Institute,India,"Vivek, Tandon",30,other,1,Chandra,male,0.81,2105
Manmohan,Singh,"Manmohan, Singh",Neurosurg,All India Inst Med Sci,Institute,India,"Vivek, Tandon",30,other,1,Manmohan,male,0.96,136
Shashank S,Kale,"Shashank S, Kale",Neurosurg,All India Inst Med Sci,Institute,India,"Vivek, Tandon",30,other,1,Shashank,male,0.99,678
Vivek,Gupta,"Vivek, Gupta",Ophthalmol,All India Inst Med Sci,Institute,India,"Vivek, Tandon",30,other,1,Vivek,male,0.99,3051
Ahamadulla,Shariff,"Ahamadulla, Shariff",Anat,All India Inst Med Sci,Institute,India,"Vivek, Tandon",30,other,1,Ahamadulla,male,0.75,4
Muzna,Alvi,"Muzna, Alvi",Environm & Prod Technol Div,Int Food Policy Res Inst IFPRI,Institute,India,"Muzna, Alvi",31,"first, leader",0,Muzna,female,1,12
Prapti,Barooah,"Prapti, Barooah",Environm & Prod Technol Div,Int Food Policy Res Inst IFPRI,Institute,India,"Muzna, Alvi",31,other,0,Prapti,female,0.97,31
Shweta,Gupta,"Shweta, Gupta",Environm & Prod Technol Div,Int Food Policy Res Inst IFPRI,Institute,India,"Muzna, Alvi",31,other,0,Shweta,female,0.98,716
Smriti,Saini,"Smriti, Saini",South Asia Reg Off,IFPRI,Institute,India,"Muzna, Alvi",31,last,0,Smriti,female,0.99,93
Kaushal Kumar,Bhagat,"Kaushal Kumar, Bhagat",Ctr Educ Technol,Indian Inst Technol Kharagpur,Institute,India,"Kaushal Kumar, Bhagat",32,"first, leader",0,Kaushal,male,0.99,296
Alakh,Dixit,"Alakh, Dixit",Min Engn,Indian Inst Technol Kharagpur,Institute,India,"Kaushal Kumar, Bhagat",32,other,0,Alakh,male,1,4
Sunil,Shanbag,"Sunil, Shanbag",Mumbai,Theatre Arpana & Tamaasha Theatre,Academy,India,"Sunil, Shanbag",33,"first, leader",0,Sunil,male,0.99,4549
Neha,Sami,"Neha, Sami",Cyanobacterial Biotechnol Lab,Jamia Millia Islamia,University,India,"Tasneem, Fatma",34,first,3,Neha,female,0.97,2082
